Subject,Count
arab americans_,23
automobile industry_,54
automobiles_,43
black americans_,136
children_,27
cities_,131
community development_,24
drug abuse_,20
economic development_,27
elderly_,36
employment_,25
fairs and shows_,42
hispanic americans_,30
housing_,23
immigrants_,27
mayors_,23
mental health_,19
minority & ethnic groups_,31
neighborhoods_,59
politics_,44
pollution_,49
popular music_,27
poverty_,32
public health_,39
race relations_,56
racism_,51
residential segregation_,30
riots_,28
sex differences_,39
urban development_,44
whites_,64
women_,37
