Classification,Count,,,,
arab americans_,227,,,,
area planning & development_,362,,,,
african americans_,1229,,,,
automobile industry_,1620,,,,
bankruptcy_,257,,,,
children & youth_,779,,,,
cities_,2264,,,,
civil rights_,270,,,,
business community_,342,,,,
colleges & universities_,708,,,,
community development_,352,,,,
education reform_,223,,,,
criminal investigations_,360,,,,
demonstrations & protests_,323,,,,
economic development_,442,,,,
minority & ethnic groups_,317,,,,
murders & murder attempts_,479,,,,
music_,251,,,,
neighborhoods_,492,,,,
parks & recreation areas_,224,,,,
police_,281,,,,
politics_,461,,,,
professional baseball_,1215,,,,
professional basketball_,606,,,,
professional football_,747,,,,
professional hockey_,558,,,,
public schools_,1063,,,,
women_,354,,,,
homeless people_,224,,,,
education_,597,,,,
labor unions_,277,,,,
mayors_,1349,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
